species,photo
Cardamine crassifolia,c3
Cardamine flexuosa,c3
Cardamine hayeana,c3
Cardamine hirsuta,c3
Cardamine impatiens,c3
Cardamine matthioli,c3
Cardamine nymanii,c3
Cardamine palustris,c3
Cardamine pratensis,c3
Cardamine rivularis,c3
Cardaminopsis petraea,c3
Cardaria draba,c3
Carduus acanthoides,c3
Carduus crispus,c3
Carduus nutans,c3
Carduus tenuiflorus,c3
Carex acuta,c3
Carex acutiformis,c3
Carex appropinquata,c3
Carex aquatilis,c3
Carex arenaria,c3
Carex atrata,c3
Carex atrofusca,c3
Carex bergrothii,c3
Carex bigelowii,c3
Carex binervis,c3
Carex buxbaumii,c3
Carex canescens subsp. canescens,c3
Carex capillaris,c3
Carex caryophyllea,c3
Carex chordorrhiza,c3
Carex contigua,c3
Carex cupina,c3
Carex curta,c3
Carex demissa,c3
Carex depauperata,c3
Carex diandra,c3
Carex digitata,c3
Carex dioica,c3
Carex distans,c3
Carex disticha,c3
Carex divisa,c3
Carex divulsa,c3
Carex echinata,c3
Carex elata,c3
Carex elongata,c3
Carex ericetorum,c3
Carex extensa,c3
Carex filiformis,c3
Carex flacca,c3
Carex flava,c3
Carex hirta,c3
Carex hostiana,c3
Carex humilis,c3
Carex lachenalii,c3
Carex laevigata,c3
Carex lasiocarpa,c3
Carex lepidocarpa,c3
Carex leporina,c3
Carex limosa,c3
Carex magellanica,c3
Carex maritima,c3
Carex marshallii,c3
Carex microglochin,c3
Carex montana,c3
Carex muricata,c3
Carex nigra,c3
Carex norvegica,c3
Carex ornithopoda,c3
Carex otrubae,c3
Carex ovalis,c3
Carex pallescens,c3
Carex panicea,c3
Carex paniculata,c3
Carex pauciflora,c3
Carex paupercula,c3
Carex pendula,c3
Carex pilulifera,c3
Carex praecox,c3
Carex pseudocyperus,c3
Carex pulicaris,c3
Carex punctata,c3
Carex rariflora,c3
Carex recta,c3
Carex remota,c3
Carex riparia,c3
Carex rostrata,c3
Carex rupestris,c3
Carex saxatilis,c3
Carex scandinavica,c3
Carex serotina,c3
Carex spicata,c3
Carex strigosa,c3
Carex sylvatica,c3
Carex tomentosa,c3
Carex vaginata,c3
Carex vesicaria,c3
Carex viridula,c3
Carex vulpina,c3
Carlina vulgaris,c3
Carpinus betulus,c3
Carum verticillatum,c3
Castanea sativa,c3
Catabrosa aquatica,c3
Catapodium marinum,c3
Catapodium rigidum,c3
Caucalis anthriscus,c3
Caucalis nodosa,c3
Centaurea calcitrapa,c3
Centaurea cyanus,c3
Centaurea debeauxii,c3
Centaurea nemoralis,c3
Centaurea nigra,c3
Centaurea scabiosa,c3
Centaurea solstitialis,c3
Centaurium capitatum,c3
Centaurium erythraea,c3
Centaurium latifolium,c3
Centaurium littorale,c3
Centaurium minus,c3
Centaurium portense,c3
Centaurium pulchellum,c3
Centaurium scilloides,c3
Centaurium tenuiflorum,c3
Centranthus ruber,c3
Centunculus minimus,c3
Cephalanthera damasonium,c3
Cephalanthera longifolia,c3
Cephalanthera rubra,c3
Cerastium alpinum,c3
Cerastium arcticum,c3
Cerastium arcticum subsp. edmondstonii,c3
Cerastium arvense,c3
Cerastium atrovirens,c3
Cerastium brachypetalum,c3
Cerastium cerastoides,c3
Cerastium diffusum,c3
Cerastium fontanum,c3
Cerastium glomeratum,c3
Cerastium holosteoides,c3
Cerastium nigrescens,c3
Cerastium nigrescens subsp. arcticum,c3
Cerastium pumilum,c3
Cerastium semidecandrum,c3
Cerastium tetrandrum,c3
Cerastium triviale,c3
Ceratocapnos claviculata,c3
Ceratochloa carinata,c3
Ceratophyllum demersum,c3
Ceratophyllum submersum,c3
Chaenorhinum minus,c3
Chaerophyllum temulentum,c3
Chaerophyllum temulum,c3
Chamaemelum nobile,c3
Chamaenerion angustifolium,c3
Chamaepericlymenum suecicum,c3
Chamerion angustifolium,c3
Chamomilla recutita,c3
Chamomilla suaveolens,c3
Cheiranthus cheiri,c3
Chelidonium majus,c3
Chenopodium album,c3
Chenopodium bonus-henricus,c3
Chenopodium botryodes,c3
Chenopodium chenopodioides,c3
Chenopodium ficifolium,c3
Chenopodium glaucum,c3
Chenopodium hybridum,c3
Chenopodium murale,c3
Chenopodium opulifolium,c3
Chenopodium polyspermum,c3
Chenopodium reticulatum,c3
Chenopodium rubrum,c3
Chenopodium urbicum,c3
Chenopodium vulvaria,c3
Cherleria sedoides,c3
Chimonobambusa quadrangularis,c3
Chlora perfoliata,c3
Chrysanthemum leucanthemum,c3
Chrysanthemum parthenium,c3
Chrysanthemum segetum,c3
