species,photo
Swida sanguinea,c3
Symphoricarpos albus,c3
Symphoricarpos racemosus,c3
Symphoricarpos rivularis,c3
Symphytum grandiflorum,c3
Symphytum ibiricum,c3
Symphytum officinale,c3
Symphytum orientale,c3
Symphytum tuberosum,c3
Symphytum x uplandicum = S. officinale x S. asperum,c3
Tamus communis,c3
Tanacetum parthenium,c3
Tanacetum vulgare,c3
Taraxacum ceratolobum,c3
Taraxacum faeroense,c3
Taraxacum fulvum,c3
Taraxacum gelertii,c3
Taraxacum obliquum,c3
Taraxacum officinale agg.,c3
Taraxacum palustre,c3
Taraxacum praestans,c3
Taraxacum simile,c3
Taraxacum unguilobum,c3
Taxus baccata,c3
Teesdalia nudicaulis,c3
Tellima grandiflora,c3
Tephroseris integrifolia,c3
Tetragonolobus maritimus,c3
Teucrium botrys,c3
Teucrium scordium,c3
Teucrium scorodonia,c3
Thalictrum alpinum,c3
Thalictrum flavum,c3
Thalictrum minus,c3
Thelycrania sanguinea,c3
Thesium humifusum,c3
Thlaspi alliaceum,c3
Thlaspi alpestre,c3
Thlaspi arvense,c3
Thlaspi caerulescens,c3
Thlaspi calaminare,c3
Thlaspi perfoliatum,c3
Thymus drucei,c3
Thymus polytrichus,c3
Thymus praecox,c3
Thymus pulegioides,c3
Thymus serpyllum,c3
Tilia cordata,c3
Tilia platyphyllos,c3
Tofieldia pusilla,c3
Tolmiea menziesii,c3
Torilis japonica,c3
Torilis nodosa,c3
Trachystemon orientalis,c3
Tragopogon pratensis,c3
Trichophorum cespitosum,c3
Trientalis europaea,c3
Trifolium arvense,c3
Trifolium aureum,c3
Trifolium bocconei,c3
Trifolium campestre,c3
Trifolium dubium,c3
Trifolium filiforme,c3
Trifolium fragiferum,c3
Trifolium glomeratum,c3
Trifolium hybridum,c3
Trifolium incarnatum,c3
Trifolium incarnatum molinerii,c3
Trifolium medium,c3
Trifolium micranthum,c3
Trifolium occidentale,c3
Trifolium ochroleucon,c3
Trifolium ornithopodioides,c3
Trifolium pratense,c3
Trifolium repens,c3
Trifolium scabrum,c3
Trifolium squamosum,c3
Trifolium striatum,c3
Trifolium strictum,c3
Trifolium subterraneum,c3
Trifolium suffocatum,c3
Triglochin maritima,c3
Triglochin maritimum,c3
Triglochin palustre,c3
Triglochin palustris,c3
Trinia glauca,c3
Tripleurospermum inodorum,c3
Tripleurospermum maritimum,c3
Tripleurospermum maritimum subsp. inodorum,c3
Trisetum flavescens,c3
Tritonia crocosmiflora,c3
Trollius europaeus,c3
Tuberaria guttata,c3
Tulipa sylvestris,c3
Turritis glabra,c3
Tussilago farfara,c3
Typha angustifolia,c3
Typha latifolia,c3
Ulex europaeus,c3
Ulex gallii,c3
Ulex minor,c3
Ulex nanus,c3
Ulmus angustifolia,c3
Ulmus carpinifolia,c3
Ulmus diversifolia,c3
Ulmus glabra,c3
Ulmus minor,c3
Ulmus minor var. vulgaris,c3
Ulmus procera,c3
Ulmus sarniensis,c3
Ulmus stricta,c3
Urtica dioica,c3
Urtica urens,c3
Utricularia australis,c3
Utricularia intermedia,c3
Utricularia minor,c3
Utricularia neglecta,c3
Utricularia ochroleuca,c3
Utricularia stygia,c3
Utricularia vulgaris,c3
Vaccinium corymbosum,c3
Vaccinium macrocarpon,c3
Vaccinium microcarpum,c3
Vaccinium myrtillus,c3
Vaccinium oxycoccos,c3
Vaccinium uliginosum,c3
Vaccinium vitis-idaea,c3
Valeriana dioica,c3
Valeriana officinalis,c3
Valeriana pyrenaica,c3
Valeriana sambucifolia,c3
Valerianella carinata,c3
Valerianella dentata,c3
Valerianella eriocarpa,c3
Valerianella locusta,c3
Valerianella olitaria,c3
Valerianella rimosa,c3
Vallisneria spiralis,c3
Verbascum lychnitis,c3
Verbascum nigrum,c3
Verbascum pulverulentum,c3
Verbascum thapsus,c3
Verbascum virgatum,c3
Verbena officinalis,c3
Veronica agrestis,c3
Veronica alpina,c3
Veronica anagallis-aquatica,c3
Veronica arvensis,c3
Veronica austriaca,c3
Veronica beccabunga,c3
Veronica catenata,c3
Veronica chamaedrys,c3
Veronica filiformis,c3
Veronica fruticans,c3
Veronica hederifolia,c3
Veronica montana,c3
Veronica officinalis,c3
Veronica peregrina,c3
Veronica persica,c3
Veronica polita,c3
Veronica praecox,c3
Veronica salicifolia,c3
Veronica scutellata,c3
Veronica serpyllifolia,c3
Veronica spicata,c3
Veronica triphyllos,c3
Veronica verna,c3
Viburnum lantana,c3
Viburnum opulus,c3
Vicia angustifolia,c3
Vicia bithynica,c3
Vicia cracca,c3
Vicia gemella,c3
Vicia gracilis,c3
Vicia hirsuta,c3
Vicia laevigata,c3
Vicia lathyroides,c3
Vicia laxiflora,c3
Vicia lutea,c3
Vicia orobus,c3
Vicia parviflora,c3
Vicia sativa,c3
Vicia sepium,c3
Vicia sylvatica,c3
Vicia tenuissima,c3
Vicia tetrasperma,c3
Vicia tetrasperma subsp. gracilis,c3
Vinca herbacea,c3
Vinca major,c3
Vinca minor,c3
Viola arvensis,c3
Viola canina,c3
Viola cornuta,c3
Viola hirta,c3
Viola kitaibeliana,c3
Viola lactea,c3
Viola lutea,c3
Viola odorata,c3
Viola palustris,c3
Viola persicifolia,c3
Viola reichenbachiana,c3
Viola riviniana,c3
Viola rupestris,c3
Viola stagnina,c3
Viola sylvestris,c3
Viola tricolor,c3
Viscaria alpina,c3
Viscaria vulgaris,c3
Viscum album,c3
Vitis vinifera,c3
Vulpia bromoides,c3
Vulpia ciliata,c3
Vulpia fasciculata,c3
Vulpia megalura,c3
Vulpia membranacea,c3
Vulpia myuros,c3
Vulpia unilateralis,c3
Wahlenbergia hederacea,c3
Wolffia arrhiza,c3
Zannichellia palustris,c3
Zerna benekenii,c3
Zerna erecta,c3
Zerna ramosa,c3
Zostera angustifolia,c3
Zostera marina,c3
Zostera noltei,c3
Amaranthus hypochondriacus,c4
Atriplex hastata,c4
Atriplex laciniata,c4
Atriplex prostrata,c4
Bassia scoparia,c4
Cynodon dactylon,c4
Cyperus longus,c4
Portulaca oleracea,c4
Salsola kali,c4
Spartina alterniflora,c4
Spartina anglica,c4
Spartina glabra,c4
Aster tripolium,cam
Carpobrotus edulis,cam
Crassula aquatica,cam
Crassula helmsii,cam
Crassula helmsii,cam
Crassula helmsii,cam
Crassula recurva,cam
Crassula recurva,cam
Crassula recurva,cam
Geranium pratense,cam
Littorella uniflora,cam
Littorella uniflora,cam
Ochagavia carnea,cam
Sedum acre,cam
Sedum telephium,cam
Tillaea aquatica,cam
Tillaea recurva,cam
Tillaea recurva,cam
Tillaea recurva,cam
Ranunculus ficaria,c3
Sedum album,cam
Spartina maritima,c4
Spartina x townsendii,c4
