species,ab_density,ad_density,sr_propAd,sr_even,lifeform,ellenberg_light
Glaucium_flavum,88,117,0.5707317073170731,0.7521367521367521,hc,9
Glechoma_hederacea,160,0,0,0,hc,6
Gnaphalium_norvegicum,144,7,0.046357615894039736,0.04861111111111111,hc,8
Hedera_helix,125,0,0,0,Ph,4
Helianthemum_nummularium,260,120,0.3157894736842105,0.46153846153846156,Ch,7
Helictotrichon_pratense,33,85,0.7203389830508474,0.38823529411764707,hc,7
Helictotrichon_pubescens,12,89,0.8811881188118812,0.1348314606741573,hc,7
Helleborus_foetidus,65,0,0,0,Ch,5
Helleborus_viridis,41,0,0,0,hc,3
Heracleum_mantegazzianum,491,75,0.13250883392226148,0.15274949083503056,hc,7
Heracleum_sphondylium,314,60,0.16042780748663102,0.1910828025477707,hc,7
Himantoglossum_hircinum,44,0,0,0,Gn,7
Hippocrepis_comosa,190,156,0.4508670520231214,0.8210526315789474,Ch,8
Holcus_lanatus,37,55,0.5978260869565217,0.6727272727272727,hc,7
Holcus_mollis,38,61,0.6161616161616161,0.6229508196721312,hc,6
Hordelymus_europaeus,5,79,0.9404761904761905,0.06329113924050633,hc,6
Hordeum_jubatum,80,120,0.6,0.6666666666666666,hc,9
Hordeum_murinum,58,62,0.5166666666666667,0.9354838709677419,Th,8
Hyacinthoides_non-scripta,51,55,0.5188679245283019,0.9272727272727272,Gn,5
Hydrocotyle_vulgaris,97,25,0.20491803278688525,0.25773195876288657,hc,8
Hypericum_androsaemum,200,0,0,0,Ph,5
Hypericum_hirsutum,298,0,0,0,hc,6
Hypericum_linariifolium,150,0,0,0,hc,7
Hypericum_perforatum,233,0,0,0,hc,7
Hypericum_pulchrum,163,0,0,0,hc,6
Hypochaeris_maculata,204,158,0.43646408839779005,0.7745098039215687,hc,8
Hypochaeris_radicata,131,136,0.5093632958801498,0.9632352941176471,hc,8
Ilex_aquifolium,180,0,0,0,Ph,5
Impatiens_glandulifera,277,137,0.3309178743961353,0.49458483754512633,Th,6
Impatiens_noli-tangere,261,12,0.04395604395604396,0.04597701149425287,Th,4
Inula_conyzae,104,94,0.47474747474747475,0.9038461538461539,hc,7
Jasione_montana,61.6,14,0.1851851851851852,0.22727272727272727,hc,7
Juncus_squarrosus,300,0,0,0,hc,7
Koeleria_macrantha,0,92,1,0,hc,8
Lamiastrum_galeobdolon,175,0,0,0,Ch,4
Lathyrus_japonicus,100,100,0.5,1,Gn,9
Lathyrus_linifolius,58,10,0.14705882352941177,0.1724137931034483,Gn,6
Lathyrus_nissolia,29,176,0.8585365853658536,0.16477272727272727,Th,8
Lathyrus_pratensis,76,73,0.4899328859060403,0.9605263157894737,hc,7
Lathyrus_sylvestris,103,167,0.6185185185185185,0.6167664670658682,hc,7
Lavatera_arborea,156,55,0.26066350710900477,0.3525641025641026,Ph,9
Lepidium_draba,273,0,0,0,hc,8
Leucanthemum_vulgare,64,37,0.36633663366336633,0.578125,hc,8
Ligusticum_scoticum,210,0,0,0,hc,8
Ligustrum_vulgare,300,0,0,0,Ph,6
Lilium_martagon,30,0,0,0,Gn,3
Limonium_bellidifolium,36,73,0.6697247706422018,0.4931506849315068,hc,9
Limonium_binervosum,26,33,0.559322033898305,0.7878787878787878,hc,9
Linnaea_borealis,200,0,0,0,Ch,5
Linum_catharticum,209,129,0.3816568047337278,0.6172248803827751,hc,8
Listera_ovata,29,0,0,0,Gn,6
Lithospermum_officinale,230,0,0,0,hc,6
Lithospermum_purpurocaeruleum,170,0,0,0,Ch,5
Lobelia_urens,250,150,0.375,0.6,hc,8
Lonicera_periclymenum,130,0,0,0,Ph,5
Lotus_corniculatus,82,118,0.59,0.6949152542372882,hc,7
Luzula_forsteri,189,0,0,0,hc,4
Luzula_pilosa,41,0,0,0,hc,5
Lychnis_viscaria,45,45,0.5,1,Ch,8
Lysimachia_nemorum,86,38,0.3064516129032258,0.4418604651162791,Ch,5
Lysimachia_nummularia,125,60,0.32432432432432434,0.48,hc,5
Lythrum_hyssopifolia,142,140,0.49645390070921985,0.9859154929577465,Th,8
Lythrum_salicaria,159,24,0.13114754098360656,0.1509433962264151,hc,7
Malva_moschata,79,36,0.3130434782608696,0.45569620253164556,hc,7
Malva_neglecta,286,221,0.4358974358974359,0.7727272727272727,Th,7
Malva_sylvestris,328,218,0.3992673992673993,0.6646341463414634,hc,8
Matricaria_discoidea,122,21,0.14685314685314685,0.1721311475409836,Th,7
Medicago_lupulina,114,159,0.5824175824175825,0.71698113207547165,Th,7
Medicago_sativa,188,169,0.4733893557422969,0.898936170212766,hc,7
Melica_nutans,0,122,1,0,hc,4
Melica_uniflora,0,95,1,0,hc,4
Mercurialis_perennis,82,6,0.06818181818181818,0.07317073170731707,hc,3
Milium_effusum,0,103,1,0,hc,4
Mimulus_guttatus,186,164,0.4685714285714286,0.8817204301075269,hc,7
Moehringia_trinervia,80,4,0.047619047619047616,0.05,Th,4
Mycelis_muralis,89,0,0,0,hc,4
Myosotis_alpestris,245,145,0.3717948717948718,0.5918367346938775,hc,8
Myosotis_scorpioides,91,7,0.07142857142857142,0.07692307692307693,hc,7
Myosoton_aquaticum,54,31,0.36470588235294116,0.5740740740740741,hc,7
Myrica_gale,30.6,0,0,0,Ph,8
Narcissus_pseudonarcissus,68,65,0.48872180451127817,0.9558823529411765,Gn,7
Nepeta_cataria,163,0,0,0,hc,7
Oenothera_biennis,221,140,0.3878116343490305,0.6334841628959276,hc,9
Onobrychis_viciifolia,135,248,0.6475195822454308,0.5443548387096774,hc,7
Ononis_spinosa,91,76,0.4550898203592814,0.8351648351648352,Ch,8
Ophrys_apifera,81,0,0,0,Gn,8
Orchis_mascula,45,0,0,0,Gn,6
Orchis_militaris,50,0,0,0,Gn,7
Origanum_vulgare,311,28,0.08259587020648967,0.09003215434083602,Ch,6
Ornithogalum_pyrenaicum,42,42,0.5,1,Gn,5
