species,lifeform
Tanacetum vulgare,hemicryptophyte
Taraxacum ceratolobum,hemicryptophyte
Taraxacum faeroense,hemicryptophyte
Taraxacum fulvum,hemicryptophyte
Taraxacum gelertii,hemicryptophyte
Taraxacum obliquum,hemicryptophyte
Taraxacum officinale agg.,hemicryptophyte
Taraxacum palustre,hemicryptophyte
Taraxacum praestans,hemicryptophyte
Taraxacum simile,hemicryptophyte
Taraxacum unguilobum,hemicryptophyte
Tephroseris integrifolia,hemicryptophyte
Teucrium scordium,hemicryptophyte
Teucrium scorodonia,hemicryptophyte
Thalictrum alpinum,hemicryptophyte
Thalictrum flavum,hemicryptophyte
Thalictrum minus,hemicryptophyte
Thelypteris limbosperma,hemicryptophyte
Tofieldia pusilla,hemicryptophyte
Tragopogon pratensis,hemicryptophyte
Trichophorum cespitosum,hemicryptophyte
Trifolium fragiferum,hemicryptophyte
Trifolium hybridum,hemicryptophyte
Trifolium medium,hemicryptophyte
Trifolium occidentale,hemicryptophyte
Trifolium ochroleucon,hemicryptophyte
Trifolium pratense,hemicryptophyte
Trifolium repens,hemicryptophyte
Triglochin maritima,hemicryptophyte
Triglochin maritimum,hemicryptophyte
Triglochin palustre,hemicryptophyte
Triglochin palustris,hemicryptophyte
Trinia glauca,hemicryptophyte
Tripleurospermum maritimum,hemicryptophyte
Trisetum flavescens,hemicryptophyte
Trollius europaeus,hemicryptophyte
Turritis glabra,hemicryptophyte
Tussilago farfara,hemicryptophyte
Umbilicus rupestris,hemicryptophyte
Urtica dioica,hemicryptophyte
Valeriana dioica,hemicryptophyte
Valeriana officinalis,hemicryptophyte
Valeriana pyrenaica,hemicryptophyte
Valeriana sambucifolia,hemicryptophyte
Verbascum lychnitis,hemicryptophyte
Verbascum nigrum,hemicryptophyte
Verbascum pulverulentum,hemicryptophyte
Verbascum thapsus,hemicryptophyte
Verbascum virgatum,hemicryptophyte
Verbena officinalis,hemicryptophyte
Veronica anagallis-aquatica,hemicryptophyte
Veronica beccabunga,hemicryptophyte
Veronica catenata,hemicryptophyte
Veronica scutellata,hemicryptophyte
Veronica serpyllifolia,hemicryptophyte
Vicia bithynica,hemicryptophyte
Vicia cracca,hemicryptophyte
Vicia orobus,hemicryptophyte
Vicia sepium,hemicryptophyte
Vicia sylvatica,hemicryptophyte
Viola canina,hemicryptophyte
Viola cornuta,hemicryptophyte
Viola hirta,hemicryptophyte
Viola lactea,hemicryptophyte
Viola lutea,hemicryptophyte
Viola odorata,hemicryptophyte
Viola palustris,hemicryptophyte
Viola persicifolia,hemicryptophyte
Viola reichenbachiana,hemicryptophyte
Viola riviniana,hemicryptophyte
Viola rupestris,hemicryptophyte
Viola stagnina,hemicryptophyte
Viola sylvestris,hemicryptophyte
Viola tricolor,hemicryptophyte
Wahlenbergia hederacea,hemicryptophyte
Woodsia alpina,hemicryptophyte
Woodsia ilvensis,hemicryptophyte
Zerna benekenii,hemicryptophyte
Zerna erecta,hemicryptophyte
Zerna ramosa,hemicryptophyte
Acorus calamus,hydrophyte
Acorus gramineus,hydrophyte
Alisma gramineum,hydrophyte
Alisma lanceolatum,hydrophyte
Alisma plantago-aquatica,hydrophyte
Apium inundatum,hydrophyte
Butomus umbellatus,hydrophyte
Cabomba caroliniana,hydrophyte
Callitriche brutia,hydrophyte
Callitriche brutia subsp. hamulata,hydrophyte
Callitriche hamulata,hydrophyte
Callitriche hermaphroditica,hydrophyte
Callitriche intermedia subsp. hamulata,hydrophyte
Callitriche intermedia subsp. pedunculata,hydrophyte
Callitriche obtusangula,hydrophyte
Callitriche pedunculata,hydrophyte
Callitriche platycarpa,hydrophyte
Callitriche polymorpha,hydrophyte
Callitriche stagnalis,hydrophyte
Callitriche truncata,hydrophyte
Ceratophyllum demersum,hydrophyte
Ceratophyllum submersum,hydrophyte
Cicuta virosa,hydrophyte
Crassula helmsii,hydrophyte
Crassula recurva,hydrophyte
Damasonium alisma,hydrophyte
Egeria densa,hydrophyte
Elatine hexandra,hydrophyte
Elatine hydropiper,hydrophyte
Eleogiton fluitans,hydrophyte
Elodea callitrichoides,hydrophyte
Elodea canadensis,hydrophyte
Elodea ernstiae,hydrophyte
Elodea nuttallii,hydrophyte
Eriocaulon aquaticum,hydrophyte
Eriocaulon septangulare,hydrophyte
Galium constrictum,hydrophyte
Galium debile,hydrophyte
Glyceria fluitans,hydrophyte
Glyceria maxima,hydrophyte
Glyceria notata,hydrophyte
Glyceria plicata,hydrophyte
Glyceria x pedicellata = G. fluitans x G. notata,hydrophyte
Groenlandia densa,hydrophyte
Hippuris vulgaris,hydrophyte
Hottonia palustris,hydrophyte
Hydrilla verticillata,hydrophyte
Hydrocharis morsus-ranae,hydrophyte
Isoetes echinospora,hydrophyte
Isoetes lacustris,hydrophyte
Isoetes setacea,hydrophyte
Juncus bulbosus,hydrophyte
Juncus kochii,hydrophyte
Lagarosiphon major,hydrophyte
Lemna gibba,hydrophyte
Lemna minor,hydrophyte
Lemna minuscula,hydrophyte
Lemna minuta,hydrophyte
Lemna polyrhiza,hydrophyte
Lemna trisulca,hydrophyte
Littorella uniflora,hydrophyte
Lobelia dortmanna,hydrophyte
Ludwigia palustris,hydrophyte
Luronium natans,hydrophyte
Lymnanthemum peltata,hydrophyte
Montia fontana,hydrophyte
Myriophyllum alterniflorum,hydrophyte
Myriophyllum spicatum,hydrophyte
Myriophyllum verticillatum,hydrophyte
Najas flexilis,hydrophyte
Najas marina,hydrophyte
Nuphar lutea,hydrophyte
Nuphar pumila,hydrophyte
Nymphaea alba,hydrophyte
Nymphoides peltata,hydrophyte
Oenanthe aquatica,hydrophyte
Oenanthe fluviatilis,hydrophyte
Persicaria amphibia,hydrophyte
Phragmites australis,hydrophyte
Phragmites communis,hydrophyte
Pilularia globulifera,hydrophyte
Polygonum amphibium,hydrophyte
Potamogeton acutifolius,hydrophyte
Potamogeton alpinus,hydrophyte
Potamogeton berchtoldii,hydrophyte
Potamogeton coloratus,hydrophyte
Potamogeton compressus,hydrophyte
Potamogeton crispus,hydrophyte
Potamogeton epihydrus,hydrophyte
Potamogeton filiformis,hydrophyte
Potamogeton friesii,hydrophyte
Potamogeton gramineus,hydrophyte
Potamogeton lucens,hydrophyte
Potamogeton natans,hydrophyte
Potamogeton nodosus,hydrophyte
Potamogeton obtusifolius,hydrophyte
Potamogeton panormitanus,hydrophyte
Potamogeton pectinatus,hydrophyte
Potamogeton perfoliatus,hydrophyte
Potamogeton polygonifolius,hydrophyte
Potamogeton praelongus,hydrophyte
Potamogeton pusillus,hydrophyte
Potamogeton rutilus,hydrophyte
Potamogeton trichoides,hydrophyte
Ranunculus aquatilis,hydrophyte
Ranunculus baudotii,hydrophyte
Ranunculus circinatus,hydrophyte
Ranunculus fluitans,hydrophyte
Ranunculus hederaceus,hydrophyte
Ranunculus heterophyllus,hydrophyte
Ranunculus lenormandii,hydrophyte
Ranunculus omiophyllus,hydrophyte
Ranunculus peltatus,hydrophyte
Ranunculus penicillatus,hydrophyte
Ranunculus trichophyllus,hydrophyte
Ranunculus tripartitus,hydrophyte
Rumex aquaticus,hydrophyte
Rumex hydrolapathum,hydrophyte
Ruppia cirrhosa,hydrophyte
Ruppia maritima,hydrophyte
Ruppia spiralis,hydrophyte
Sagittaria latifolia,hydrophyte
Sagittaria sagittifolia,hydrophyte
Schoenoplectus lacustris,hydrophyte
Schoenoplectus tabernaemontani,hydrophyte
Scirpus fluitans,hydrophyte
Scirpus lacustris,hydrophyte
Sparganium angustifolium,hydrophyte
Sparganium emersum,hydrophyte
Sparganium erectum,hydrophyte
Sparganium minimum,hydrophyte
Sparganium natans,hydrophyte
Spirodela polyrhiza,hydrophyte
Stratiotes aloides,hydrophyte
Tillaea recurva,hydrophyte
Typha angustifolia,hydrophyte
Typha latifolia,hydrophyte
Utricularia australis,hydrophyte
Utricularia intermedia,hydrophyte
Utricularia minor,hydrophyte
Utricularia neglecta,hydrophyte
Utricularia ochroleuca,hydrophyte
Utricularia stygia,hydrophyte
Utricularia vulgaris,hydrophyte
Vallisneria spiralis,hydrophyte
Wolffia arrhiza,hydrophyte
Zannichellia palustris,hydrophyte
Zostera angustifolia,hydrophyte
Zostera marina,hydrophyte
Zostera noltei,hydrophyte
Abies grandis,phanerophyte
Acer campestre,phanerophyte
Acer platanoides,phanerophyte
Acer pseudoplatanus,phanerophyte
Alcea rosea,phanerophyte
Alnus glutinosa,phanerophyte
Amelanchier canadensis,phanerophyte
Amelanchier confusa,phanerophyte
Amelanchier grandiflora,phanerophyte
Amelanchier intermedia,phanerophyte
Amelanchier laevis,phanerophyte
Amelanchier lamarckii,phanerophyte
Arbutus unedo,phanerophyte
Arundinaria anceps,phanerophyte
Arundinaria japonica,phanerophyte
Arundinaria jaunsarensis,phanerophyte
Arundinaria quadrangularis,phanerophyte
Atriplex portulacoides,phanerophyte
Berberis vulgaris,phanerophyte
Betula nana,phanerophyte
Betula nana,phanerophyte
Betula pendula,phanerophyte
Betula pubescens,phanerophyte
Buddleja davidii,phanerophyte
Buxus sempervirens,phanerophyte
Calluna vulgaris,phanerophyte
Carpinus betulus,phanerophyte
Castanea sativa,phanerophyte
Chimonobambusa quadrangularis,phanerophyte
Clematis vitalba,phanerophyte
Coincya wrightii,phanerophyte
Colutea arborescens,phanerophyte
Cornus sanguinea,phanerophyte
Corylus avellana,phanerophyte
Cotoneaster bullatus,phanerophyte
Cotoneaster cambricus,phanerophyte
Cotoneaster horizontalis,phanerophyte
Cotoneaster integrifolius,phanerophyte
Cotoneaster simonsii,phanerophyte
Crataegus laevigata,phanerophyte
Crataegus monogyna,phanerophyte
Crataegus oxyacanthoides,phanerophyte
Cytisus scoparius,phanerophyte
Daphne laureola,phanerophyte
Daphne mezereum,phanerophyte
Empetrum hermaphroditum,phanerophyte
Empetrum nigrum,phanerophyte
Erica ciliaris,phanerophyte
Erica cinerea,phanerophyte
Erica erigena,phanerophyte
Erica herbacea subsp. occidentalis,phanerophyte
Erica hibernica,phanerophyte
Erica mackaiana,phanerophyte
Erica mediterranea,phanerophyte
Erica tetralix,phanerophyte
Erica vagans,phanerophyte
Escallonia macrantha,phanerophyte
Escallonia rubra,phanerophyte
Euonymus europaeus,phanerophyte
Euphorbia amygdaloides,phanerophyte
Fagus sylvatica,phanerophyte
Fargesia spathacea,phanerophyte
Frangula alnus,phanerophyte
Fraxinus excelsior,phanerophyte
Fuchsia magellanica,phanerophyte
Gaultheria mucronata,phanerophyte
Gaultheria shallon,phanerophyte
Genista anglica,phanerophyte
Genista pilosa,phanerophyte
Genista tinctoria,phanerophyte
Halimione portulacoides,phanerophyte
Hebe elliptica,phanerophyte
Hebe salicifolia,phanerophyte
Hebe speciosa,phanerophyte
Hebe x franciscana,phanerophyte
Hedera helix,phanerophyte
Hippophae rhamnoides,phanerophyte
Hutera wrightii,phanerophyte
Hypericum androsaemum,phanerophyte
Hypericum calycinum,phanerophyte
Ilex aquifolium,phanerophyte
Juniperus communis,phanerophyte
Kalmia latifolia,phanerophyte
Laburnum anagyroides,phanerophyte
Ledum groenlandicum,phanerophyte
Ledum palustre,phanerophyte
Leycesteria formosa,phanerophyte
Ligustrum ovalifolium,phanerophyte
Ligustrum vulgare,phanerophyte
Lonicera caprifolium,phanerophyte
Lonicera periclymenum,phanerophyte
Lonicera xylosteum,phanerophyte
Lupinus arboreus,phanerophyte
Lycium barbarum,phanerophyte
Lycium halimifolium,phanerophyte
Lycopersicon esculentum,phanerophyte
Mahonia aquifolium,phanerophyte
Malus domestica,phanerophyte
Malus pumila,phanerophyte
Malus sylvestris,phanerophyte
Malus sylvestris subsp. mitis,phanerophyte
Muehlenbeckia complexa,phanerophyte
Myrica gale,phanerophyte
Pernettya mucronata,phanerophyte
Phormium colensoi,phanerophyte
Phormium cookianum,phanerophyte
Phormium tenax,phanerophyte
Pinus pinaster,phanerophyte
Pinus sylvestris,phanerophyte
Pittosporum crassifolium,phanerophyte
Pleioblastus chino,phanerophyte
Pleioblastus pygmaeus,phanerophyte
Pleioblastus simonii,phanerophyte
Populus alba x tremula x canescens,phanerophyte
Populus nigra,phanerophyte
Populus tremula,phanerophyte
Populus x hybrida,phanerophyte
Potentilla fruticosa,phanerophyte
Prunus avium,phanerophyte
Prunus domestica,phanerophyte
Prunus insititia,phanerophyte
Prunus laurocerasus,phanerophyte
Prunus padus,phanerophyte
Prunus serotina,phanerophyte
Prunus spinosa,phanerophyte
Pseudosasa japonica,phanerophyte
Pyrus cordata,phanerophyte
Quercus cerris,phanerophyte
Quercus petraea,phanerophyte
Quercus robur,phanerophyte
Rhamnus cathartica,phanerophyte
Rhododendron luteum,phanerophyte
Rhododendron ponticum,phanerophyte
Rhynchosinapis wrightii,phanerophyte
Ribes alpinum,phanerophyte
Ribes nigrum,phanerophyte
Ribes rubrum,phanerophyte
Ribes spicatum,phanerophyte
Ribes sylvestre,phanerophyte
Ribes uva-crispa,phanerophyte
Robinia pseudoacacia,phanerophyte
Rosa afzeliana,phanerophyte
Rosa agrestis,phanerophyte
Rosa arvensis,phanerophyte
Rosa caesia,phanerophyte
Rosa canina,phanerophyte
Rosa coriifolia,phanerophyte
Rosa corymbifera,phanerophyte
Rosa dumalis,phanerophyte
Rosa glauca,phanerophyte
Rosa micrantha,phanerophyte
Rosa mollis,phanerophyte
Rosa obtusifolia,phanerophyte
Rosa pimpinellifolia,phanerophyte
Rosa rubiginosa,phanerophyte
Rosa rugosa,phanerophyte
Rosa scabriuscula,phanerophyte
Rosa sherardii,phanerophyte
Rosa spinosissima,phanerophyte
Rosa squarrosa,phanerophyte
Rosa stylosa,phanerophyte
Rosa tomentosa,phanerophyte
Rosa villosa,phanerophyte
Rosa vosagiaca,phanerophyte
Rubus caesius,phanerophyte
Rubus fruticosus,phanerophyte
Rubus idaeus,phanerophyte
Rubus spectabilis,phanerophyte
Ruscus aculeatus,phanerophyte
Salix alba,phanerophyte
Salix arbuscula,phanerophyte
Salix atrocinerea,phanerophyte
Salix aurita,phanerophyte
Salix caprea,phanerophyte
Salix cinerea,phanerophyte
Salix cinerea oleifolia,phanerophyte
Salix decipiens,phanerophyte
Salix fragilis,phanerophyte
Salix hibernica,phanerophyte
Salix lanata,phanerophyte
Salix lapponum,phanerophyte
Salix myrsinifolia,phanerophyte
Salix myrsinites,phanerophyte
Salix nigricans,phanerophyte
Salix pentandra,phanerophyte
Salix phylicifolia,phanerophyte
Salix purpurea,phanerophyte
Salix repens,phanerophyte
Salix triandra,phanerophyte
Salix viminalis,phanerophyte
Sambucus canadensis,phanerophyte
Sambucus nigra,phanerophyte
Sambucus pubens,phanerophyte
Sambucus racemosa,phanerophyte
Sambucus sieboldiana,phanerophyte
Sarothamnus scoparius,phanerophyte
Sasa palmata,phanerophyte
Sasa veitchii,phanerophyte
Sasaella ramosa,phanerophyte
Semiarundinaria fastuosa,phanerophyte
Sinarundinaria anceps,phanerophyte
Solanum dulcamara,phanerophyte
Solanum lycopersicon,phanerophyte
Sorbus anglica,phanerophyte
Sorbus aria,phanerophyte
Sorbus arranensis,phanerophyte
Sorbus aucuparia,phanerophyte
Sorbus bristoliensis,phanerophyte
Sorbus devoniensis,phanerophyte
Sorbus eminens,phanerophyte
Sorbus hibernica,phanerophyte
Sorbus intermedia,phanerophyte
Sorbus lancastriensis,phanerophyte
Sorbus leptophylla,phanerophyte
Sorbus leyana,phanerophyte
Sorbus minima,phanerophyte
Sorbus porrigentiformis,phanerophyte
Sorbus pseudofennica,phanerophyte
Sorbus rupicola,phanerophyte
Sorbus subcuneata,phanerophyte
Sorbus torminalis,phanerophyte
Sorbus vexans,phanerophyte
Sorbus wilmottiana,phanerophyte
Spiraea alba,phanerophyte
Spiraea salicifolia,phanerophyte
Suaeda fruticosa,phanerophyte
Suaeda vera,phanerophyte
Swida sanguinea,phanerophyte
Symphoricarpos albus,phanerophyte
Symphoricarpos racemosus,phanerophyte
Symphoricarpos rivularis,phanerophyte
Syringa vulgaris,phanerophyte
Taxus baccata,phanerophyte
Thelycrania sanguinea,phanerophyte
Tilia cordata,phanerophyte
Tilia platyphyllos,phanerophyte
Ulex europaeus,phanerophyte
Ulex gallii,phanerophyte
Ulex minor,phanerophyte
Ulex nanus,phanerophyte
Ulmus angustifolia,phanerophyte
Ulmus carpinifolia,phanerophyte
Ulmus diversifolia,phanerophyte
Ulmus glabra,phanerophyte
Ulmus minor,phanerophyte
Ulmus sarniensis,phanerophyte
Ulmus stricta,phanerophyte
Vaccinium myrtillus,phanerophyte
Vaccinium uliginosum,phanerophyte
Vaccinium vitis-idaea,phanerophyte
Veronica salicifolia,phanerophyte
Viburnum lantana,phanerophyte
Viburnum opulus,phanerophyte
Yushania anceps,phanerophyte
Abutilon theophrasti,therophyte
Acinos arvensis,therophyte
Adonis annua,therophyte
Aethusa cynapium,therophyte
Agrostemma githago,therophyte
Aira armoricana,therophyte
Aira caryophyllea,therophyte
Aira multiculmis,therophyte
Aira praecox,therophyte
Alchemilla arvensis,therophyte
Alchemilla mirocarpa,therophyte
Alopecurus aequalis,therophyte
Alopecurus myosuroides,therophyte
Alyssum alyssoides,therophyte
Amoria glomerata,therophyte
Amoria suffocata,therophyte
Amsinckia lycopsoides,therophyte
Anagallis arvensis,therophyte
Anagallis minima,therophyte
Anchusa arvensis,therophyte
Anisantha diandra,therophyte
Anisantha gussonei,therophyte
Anisantha sterilis,therophyte
Anisantha tectorum,therophyte
Anogramma leptophylla,therophyte
Anthemis arvensis,therophyte
Anthemis cotula,therophyte
Anthriscus caucalis,therophyte
Anthriscus vulgaris,therophyte
Antirrhinum orontium,therophyte
Apera interrupta,therophyte
Apera spica-venti,therophyte
Aphanes arvensis,therophyte
Aphanes inexspectata,therophyte
Aphanes microcarpa,therophyte
Arabidopsis thaliana,therophyte
Arenaria norvegica,therophyte
Arenaria serpyllifolia,therophyte
Arnoseris minima,therophyte
Atriplex glabriuscula,therophyte
Atriplex hastata,therophyte
Atriplex laciniata,therophyte
Atriplex littoralis,therophyte
Atriplex longipes,therophyte
Atriplex patula,therophyte
Atriplex pedunculata,therophyte
Atriplex praecox,therophyte
Atriplex prostrata,therophyte
Avena fatua,therophyte
Avena ludoviciana,therophyte
Avena sterilis,therophyte
Bartsia odontites,therophyte
Beta vulgaris,therophyte
Bidens cernua,therophyte
Bidens connata,therophyte
Bidens frondosa,therophyte
Bidens tripartita,therophyte
Bilderdykia convolvulus,therophyte
Blackstonia perfoliata,therophyte
Brassica campestris,therophyte
Brassica napus,therophyte
Brassica nigra,therophyte
Brassica rapa,therophyte
Briza minor,therophyte
Bromus commutatus,therophyte
Bromus diandrus,therophyte
Bromus hordeaceus,therophyte
Bromus lepidus,therophyte
Bromus mollis,therophyte
Bromus pseudosecalinus,therophyte
Bromus racemosus,therophyte
Bromus secalinus,therophyte
Bromus sterilis,therophyte
Bromus tectorum,therophyte
Buglossoides arvensis,therophyte
Bupleurum baldense,therophyte
Bupleurum tenuissimum,therophyte
Cakile edentula,therophyte
Cakile maritima,therophyte
Callitriche brutia,therophyte
Callitriche brutia subsp. hamulata,therophyte
Callitriche hamulata,therophyte
Callitriche intermedia subsp. hamulata,therophyte
Callitriche intermedia subsp. pedunculata,therophyte
Callitriche pedunculata,therophyte
Callitriche platycarpa,therophyte
Callitriche polymorpha,therophyte
Callitriche stagnalis,therophyte
Calycomorphum subterraneum,therophyte
Camelina sativa,therophyte
Capsella bursa-pastoris,therophyte
Cardamine hirsuta,therophyte
Cardamine impatiens,therophyte
Carduus tenuiflorus,therophyte
Catapodium marinum,therophyte
Catapodium rigidum,therophyte
Caucalis anthriscus,therophyte
Caucalis nodosa,therophyte
Centaurea cyanus,therophyte
Centaurea solstitialis,therophyte
Centaurium pulchellum,therophyte
Centaurium tenuiflorum,therophyte
Centunculus minimus,therophyte
Cerastium atrovirens,therophyte
Cerastium brachypetalum,therophyte
Cerastium diffusum,therophyte
Cerastium glomeratum,therophyte
Cerastium pumilum,therophyte
Cerastium semidecandrum,therophyte
Cerastium tetrandrum,therophyte
Ceratocapnos claviculata,therophyte
Chaenorhinum minus,therophyte
Chamomilla recutita,therophyte
Chamomilla suaveolens,therophyte
Chenopodium album,therophyte
Chenopodium botryodes,therophyte
Chenopodium chenopodioides,therophyte
Chenopodium ficifolium,therophyte
Chenopodium glaucum,therophyte
Chenopodium hybridum,therophyte
Chenopodium murale,therophyte
Chenopodium opulifolium,therophyte
Chenopodium polyspermum,therophyte
Chenopodium reticulatum,therophyte
Chenopodium rubrum,therophyte
Chenopodium urbicum,therophyte
Chenopodium vulvaria,therophyte
Chlora perfoliata,therophyte
Chrysanthemum segetum,therophyte
Chrysaspis aurea,therophyte
Chrysaspis campestris,therophyte
Chrysaspis dubia,therophyte
Chrysaspis micrantha,therophyte
Cicendia filiformis,therophyte
Claytonia perfoliata,therophyte
Claytonia sibirica,therophyte
Clinopodium acinos,therophyte
Cochlearia danica,therophyte
Conyza canadensis,therophyte
Coronopus didymus,therophyte
Coronopus squamatus,therophyte
Corrigiola litoralis,therophyte
Corydalis claviculata,therophyte
Cotula coronopifolia,therophyte
Crassula aquatica,therophyte
Crassula tillaea,therophyte
Crepis capillaris,therophyte
Crepis foetida,therophyte
Crepis vesicaria,therophyte
Crepis virens,therophyte
Cuscuta epithymum,therophyte
Cuscuta europaea,therophyte
Cyperus fuscus,therophyte
Datura inermis,therophyte
Datura stramonium,therophyte
Datura tatula,therophyte
Descurainia sophia,therophyte
Desmazeria marina,therophyte
Desmazeria rigida,therophyte
Dianthus armeria,therophyte
Digitaria ischaemum,therophyte
Diplotaxis muralis,therophyte
Draba muralis,therophyte
Erigeron acer,therophyte
Erigeron acris,therophyte
Erigeron canadensis,therophyte
Erodium cicutarium,therophyte
Erodium maritimum,therophyte
Erodium moschatum,therophyte
Erophila glabrescens,therophyte
Erophila majuscula,therophyte
Erophila praecox,therophyte
Erophila spathulata,therophyte
Erophila verna,therophyte
Erysimum cheiranthoides,therophyte
Erythraea pulchella,therophyte
Euphorbia exigua,therophyte
Euphorbia helioscopia,therophyte
Euphorbia peplis,therophyte
Euphorbia peplus,therophyte
Euphorbia platyphyllos,therophyte
Euphorbia serrulata,therophyte
Euphorbia stricta,therophyte
Euphrasia anglica,therophyte
Euphrasia arctica,therophyte
Euphrasia cambrica,therophyte
Euphrasia campbelliae,therophyte
Euphrasia confusa,therophyte
Euphrasia foulaensis,therophyte
Euphrasia frigida,therophyte
Euphrasia heslop-harrisonii,therophyte
Euphrasia marshallii,therophyte
Euphrasia micrantha,therophyte
Euphrasia nemorosa,therophyte
Euphrasia occidentalis,therophyte
Euphrasia officinalis,therophyte
Euphrasia officinalis agg.,therophyte
Euphrasia officinalis subsp. anglica,therophyte
Euphrasia ostenfeldii,therophyte
Euphrasia pseudokerneri,therophyte
Euphrasia rivularis,therophyte
Euphrasia rostkoviana,therophyte
Euphrasia rotundifolia,therophyte
Euphrasia salisburgensis,therophyte
Euphrasia scottica,therophyte
Euphrasia tetraquetra,therophyte
Falcatula ornithopodioides,therophyte
Fallopia convolvulus,therophyte
Fallopia dumetorum,therophyte
Filaginella uliginosa,therophyte
Filago apiculata,therophyte
Filago germanica,therophyte
Filago lutescens,therophyte
Filago minima,therophyte
Filago pyramidata,therophyte
Filago spathulata,therophyte
Filago vulgaris,therophyte
Fumaria bastardii,therophyte
Fumaria capreolata,therophyte
Fumaria densiflora,therophyte
Fumaria martinii,therophyte
Fumaria micrantha,therophyte
Fumaria muralis,therophyte
Fumaria occidentalis,therophyte
Fumaria officinalis,therophyte
Fumaria parviflora,therophyte
Fumaria purpurea,therophyte
Fumaria reuteri,therophyte
Fumaria vaillantii,therophyte
Galeopsis angustifolia,therophyte
Galeopsis bifida,therophyte
Galeopsis segetum,therophyte
Galeopsis speciosa,therophyte
Galeopsis tetrahit,therophyte
Galinsoga ciliata,therophyte
Galinsoga parviflora,therophyte
Galinsoga quadriradiata,therophyte
Galium aparine,therophyte
Galium parisiense,therophyte
Gastridium ventricosum,therophyte
Gaudinia fragilis,therophyte
Gentiana campestris,therophyte
Gentiana nivalis,therophyte
Gentiana uliginosa,therophyte
Gentianella campestris,therophyte
Gentianella uliginosa,therophyte
Geranium columbinum,therophyte
Geranium dissectum,therophyte
Geranium lucidum,therophyte
Geranium molle,therophyte
Geranium purpureum,therophyte
Geranium pusillum,therophyte
Geranium robertianum,therophyte
Geranium robertianum subsp. purpureum,therophyte
Geranium rotundifolium,therophyte
Glebionis segetum,therophyte
Gnaphalium luteo-album,therophyte
Gnaphalium luteoalbum,therophyte
Gnaphalium uliginosum,therophyte
Halimione pedunculata,therophyte
Helminthotheca echioides,therophyte
Herniaria glabra,therophyte
Holosteum umbellatum,therophyte
Hordeum glaucum,therophyte
Hordeum jubatum,therophyte
Hordeum leporinum,therophyte
Hordeum marinum,therophyte
Hordeum murinum,therophyte
Hornungia petraea,therophyte
Hypericum canadense,therophyte
Hypochaeris glabra,therophyte
Iberis amara,therophyte
Illecebrum verticillatum,therophyte
Impatiens biflora,therophyte
Impatiens capensis,therophyte
Impatiens fulva,therophyte
Impatiens glandulifera,therophyte
Impatiens noli-tangere,therophyte
Impatiens parviflora,therophyte
Isolepis cernua,therophyte
Isolepis setacea,therophyte
Juncus ambiguus,therophyte
Juncus bufonius,therophyte
Juncus capitatus,therophyte
Juncus foliosus,therophyte
Juncus minutulus,therophyte
Juncus mutabilis,therophyte
Juncus pygmaeus,therophyte
Juncus ranarius,therophyte
Kickxia elatine,therophyte
Kickxia spuria,therophyte
Koenigia islandica,therophyte
Kohlrauschia prolifera,therophyte
Lactuca saligna,therophyte
Lactuca serriola,therophyte
Lactuca virosa,therophyte
Lagurus ovatus,therophyte
Lamium amplexicaule,therophyte
Lamium confertum,therophyte
Lamium hybridum,therophyte
Lamium moluccellifolium,therophyte
Lamium purpureum,therophyte
Lapsana communis,therophyte
Lathyrus aphaca,therophyte
Lathyrus nissolia,therophyte
Lavatera cretica,therophyte
Legousia hybrida,therophyte
Lepidium campestre,therophyte
Lepidium didymum,therophyte
Lepidium ruderale,therophyte
Lepidium squamatum,therophyte
Limosella aquatica,therophyte
Limosella australis,therophyte
Limosella subulata,therophyte
Linaria elatine,therophyte
Linaria spuria,therophyte
Linaria supina,therophyte
Linum angustifolium,therophyte
Linum bienne,therophyte
Lithospermum arvense,therophyte
Lobularia maritima,therophyte
Logfia minima,therophyte
Lolium multiflorum,therophyte
Lotus angustissimus,therophyte
Lotus hispidus,therophyte
Lotus parviflorus,therophyte
Lotus suaveolens,therophyte
Lotus subbiflorus,therophyte
Lycopsis arvensis,therophyte
Lythrum hyssopifolia,therophyte
Lythrum portula,therophyte
Lythrum portula,therophyte
Malva neglecta,therophyte
Malva pseudolavatera,therophyte
Matricaria discoidea,therophyte
Matricaria matricarioides,therophyte
Matricaria perforata,therophyte
Matricaria recutita,therophyte
Matricaria suaveolens,therophyte
Matthiola incana,therophyte
Medicago arabica,therophyte
Medicago hispida,therophyte
Medicago lupulina,therophyte
Medicago minima,therophyte
Medicago nigra,therophyte
Medicago polymorpha,therophyte
Melampyrum arvense,therophyte
Melampyrum cristatum,therophyte
Melampyrum pratense,therophyte
Melampyrum sylvaticum,therophyte
Melilotus alba,therophyte
Melilotus albus,therophyte
Mercurialis annua,therophyte
Mibora minima,therophyte
Microthlaspi perfoliatum,therophyte
Minuartia hybrida,therophyte
Misopates orontium,therophyte
Moehringia trinervia,therophyte
Moenchia erecta,therophyte
Montia fontana,therophyte
Montia perfoliata,therophyte
Montia sibirica,therophyte
Myosotis collina,therophyte
Myosotis discolor,therophyte
Myosotis ramosissima,therophyte
Myosotis versicolor,therophyte
Myosurus minimus,therophyte
Nardurus maritimus,therophyte
Nasturtium palustre,therophyte
Odontites verna,therophyte
Odontites vernus,therophyte
Oenothera stricta,therophyte
