"SpeciesAuthor","SpeciesAccepted","dim","repProp","repActive","repDorm","survProblem","primitive","irreducible","ergodic","F0","C0","F0C0","lambda","lambdaAway","R0","T","KeyfitzH","DemetriusH","lifespanFun","lifespanDoak","prob1stReprod","La","QSD0.1","QSD0.05","QSD0.01","rho","periodOscillation","react","firstStepAtt","maxAmp","maxAtt","inertiaUp","inertiaLow","inertiaTotal","KreissUp","KreissLow","KreissTotal","vProp","vActive","vDorm","wProp","wActive","wDorm","Eprog","Efec","Esurv"
"Brassica_napus_2","Brassica napus",5,1,4,0,0.2324695064,TRUE,TRUE,TRUE,0,1,0,238.061332764741,237.061332764741,66.1214258428211,0.765915236228699,0,NA,1.211886883,3,0.211886883,2,NA,NA,NA,1140.19507639255,NA,2.69103044306438,0.000890051654081061,2.69103044306438,0.000890051654081061,2.68953853873722,0.00185194965237838,2.68768658908484,2.6895368486184,0.00185294692349764,2.6876839016949,0.000369382233503343,0.999630617766497,0,0.588662035959669,0.411337964040331,0,0.001152871439218,0.998846895195759,2.33365022167845e-07
"Bromus_tectorum","Bromus tectorum",5,1,4,0,0.230172413793103,FALSE,FALSE,FALSE,1,1,1,0.0416666666666667,0.958333333333333,0,NA,0,NA,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Cerastium_fontanum","Cerastium fontanum",3,1,2,0,0.46,FALSE,FALSE,FALSE,0,1,0,2.55775550081743,1.55775550081743,2.32909090909091,0.900277830394522,0,NA,1,2,0,1,NA,NA,NA,16.2129817444219,NA,50.8453603006375,0,NA,NA,NA,NA,NA,NA,NA,NA,0.00472198041565237,0.995278019584348,0,0.983812365916989,0.0161876340830113,0,0.184432959733227,0.776191110825353,0.0393759294414201
"Cerastium_pumilum","Cerastium pumilum",3,1,2,0,0.8,FALSE,FALSE,FALSE,0,1,0,2.22459754727116,1.22459754727116,39.4296296296296,4.59558247789574,0,NA,1,2,0,1,NA,NA,NA,3.20270659372301,NA,48.2154626716963,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0132048279333568,0.986795172066643,0,0.986155313611199,0.0138446863888007,0,0.511989606335471,0.32787015265235,0.160140241012179
"Clarkia_xantiana_subsp._xantiana","Clarkia xantiana",3,3,0,0,0.500692,TRUE,TRUE,TRUE,0,1,0,5.16937915897956,4.16937915897956,8.16350411167815,1.27814346929371,0,0,NA,1,NA,NA,NA,NA,NA,11.3662708883026,NA,1.8157466874635,0.614930246561271,1.8157466874635,0.562177079670427,1.70298387638754,0.562622039191584,1.14036183719595,1.70298328031284,0.562622528988256,1.14036075132458,1,0,0,1,0,0,0.102663261104174,0.897336738895826,0
"Collinsia_verna","Collinsia verna",7,3,4,0,0.2045,TRUE,TRUE,TRUE,0,1,0,0.713135584433762,0.286864415566238,0.136174166436464,5.89741676914764,0,NA,1,2,1,1,NA,NA,NA,4.3942325466757,NA,6.75748077250463,0.153547238968511,6.75748077250463,0.150868430072301,6.57775654341215,0.154298623605121,6.42345791980703,6.57775098805868,0.154299468964341,6.42345151909434,0.0235083015776642,0.976491698422336,0,0.885014759728008,0.114985240271992,0,0.242732627316549,0.75634491659491,0.000922456088539647
"Conyza_canadensis","Erigeron canadensis",2,1,1,0,0.355,TRUE,TRUE,TRUE,0,1,0,7.08797530214351,6.08797530214351,9.49925037481259,1.14951654375305,0,NA,1,2,1,1,NA,NA,NA,11.7160567291481,NA,41.4998624375913,0.0500848246314632,41.4998624375913,0.0500848246314632,38.3149444814954,0.124786359814731,38.1901581216807,38.3149100997732,0.124787166196669,38.1901229335765,0.00324628599325743,0.996753714006743,0,0.977082743742598,0.0229172562574023,0,0.116198368174064,0.878073401170572,0.00572823065536374
"Gilia_tenuiflora_subsp._hoffmannii","Gilia tenuiflora hoffmannii",2,1,1,0,0.775829081632653,TRUE,TRUE,TRUE,0,1,0,2.494092525218,1.494092525218,17.3997125217391,3.12547950222906,0,NA,1,2,1,1,NA,NA,NA,1.43002367997064,NA,67.5243723343659,0.3110666800803,67.5243723343659,0.3110666800803,40.1483471838712,0.594575644258718,39.5537715396124,40.1483241447617,0.594575882827706,39.553748261934,0.0145933478255077,0.985406652174492,0,0.98975004557188,0.0102499544281196,0,0.411518728999003,0.411518728999003,0.176962542001993
"Holocarpha_macradenia","Holocarpha macradenia",2,1,1,0,0.63024,TRUE,TRUE,TRUE,0,1,0,0.633118030048174,0.366881969951826,0.00532692165934585,11.4526360414871,8.77637887874367e-05,NA,1.00272741857853,2,1,1,NA,NA,NA,1582.8,NA,12.9402727630054,0.99545419667174,12.9402727630054,0.99545419667174,12.9327708421506,0.995457052741904,11.9373137894087,12.9327589151944,0.995457057151716,11.9373018580426,0.0714704742235687,0.928529525776431,0,0.999619433036759,0.000380566963241444,0,0.00492178532569474,0.004900640364644,0.990177574309661
"Hordeum_spontaneum","Hordeum spontaneum",5,2,3,0,0.51125,TRUE,TRUE,TRUE,0,1,0,1.53116194179086,0.531161941790856,0.098725373,-5.43489945903748,0,NA,1,2,1,1,NA,NA,NA,20.4263607257204,8.82888507651052,1.10985974351766,0.044410717210269,1.11426680726639,0.00152995505872273,1.11426293586135,0.00152999434354841,1.1127329415178,1.11426281566966,0.00153104845031833,1.11273176721934,0.120693782501626,0.879306217498374,0,0.138308437969955,0.861691562030045,0,0.0403079713928631,0.959692028607136,0
"Impatiens_capensis","Impatiens capensis",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactuca_serriola","Lactuca serriola",5,1,4,0,0,FALSE,FALSE,FALSE,1,1,1,0,1,0,NA,0,NA,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
