species,ab_density,ad_density,sr_propAd,sr_even,lifeform,ellenberg_light,height,wh
Lamiastrum_galeobdolon,175,0,0,0,Ch,4,60,h
Lathyrus_japonicus,100,100,0.5,0,Gn,9,20,h
Lathyrus_linifolius,58,10,0.14705882352941177,0,Gn,6,40,h
Lathyrus_nissolia,29,176,0.8585365853658536,0,Th,8,75,h
Lathyrus_pratensis,76,73,0.4899328859060403,0,hc,7,80,h
Lathyrus_sylvestris,103,167,0.6185185185185185,0,hc,7,200,h
Lavatera_arborea,156,55,0.26066350710900477,0,Ph,9,300,w
Lepidium_draba,273,0,0,0,hc,8,60,h
Leucanthemum_vulgare,64,37,0.36633663366336633,0,hc,8,75,h
Ligusticum_scoticum,210,0,0,0,hc,8,60,h
Ligustrum_vulgare,300,0,0,0,Ph,6,300,w
Lilium_martagon,30,0,0,0,Gn,3,100,h
Limonium_bellidifolium,36,73,0.6697247706422018,0,hc,9,30,h
Limonium_binervosum,26,33,0.559322033898305,0,hc,9,50,h
Linnaea_borealis,200,0,0,0,Ch,5,10,sw
Linum_catharticum,209,129,0.3816568047337278,0,hc,8,18,h
Listera_ovata,29,0,0,0,Gn,6,60,h
Lithospermum_officinale,230,0,0,0,hc,6,80,h
Lithospermum_purpurocaeruleum,170,0,0,0,Ch,5,60,h
Lobelia_urens,250,150,0.375,0,hc,8,70,h
Lonicera_periclymenum,130,0,0,0,Ph,5,600,w
Lotus_corniculatus,82,118,0.59,0,hc,7,40,h
Luzula_forsteri,189,0,0,0,hc,4,35,h
Luzula_pilosa,41,0,0,0,hc,5,32,h
Lychnis_viscaria,45,45,0.5,0,Ch,8,45,h
Lysimachia_nemorum,86,38,0.3064516129032258,0,Ch,5,20,h
Lysimachia_nummularia,125,60,0.32432432432432434,0,hc,5,5,h
Lythrum_hyssopifolia,142,140,0.49645390070921985,0,Th,8,15,h
Lythrum_salicaria,159,24,0.13114754098360656,0,hc,7,120,h
Malva_moschata,79,36,0.3130434782608696,0,hc,7,80,h
Malva_neglecta,286,221,0.4358974358974359,0,Th,7,60,h
Malva_sylvestris,328,218,0.3992673992673993,0,hc,8,150,h
Matricaria_discoidea,122,21,0.14685314685314685,0,Th,7,35,h
Medicago_lupulina,114,159,0.5824175824175825,0,Th,7,50,h
Medicago_sativa,188,169,0.4733893557422969,0,hc,7,90,h
Melica_nutans,0,122,1,0,hc,4,60,h
Melica_uniflora,0,95,1,0,hc,4,60,h
Mercurialis_perennis,82,6,0.06818181818181818,0,hc,3,40,h
Milium_effusum,0,103,1,0,hc,4,150,h
Mimulus_guttatus,186,164,0.4685714285714286,0,hc,7,50,h
Moehringia_trinervia,80,4,0.047619047619047616,0,Th,4,40,h
Mycelis_muralis,89,0,0,0,hc,4,100,h
Myosotis_alpestris,245,145,0.3717948717948718,0,hc,8,25,h
Myosotis_scorpioides,91,7,0.07142857142857142,0,hc,7,57,h
Myosoton_aquaticum,54,31,0.36470588235294116,0,hc,7,100,h
Myrica_gale,30.6,0,0,0,Ph,8,150,w
Narcissus_pseudonarcissus,68,65,0.48872180451127817,0,Gn,7,35,h
Nepeta_cataria,163,0,0,0,hc,7,100,h
Oenothera_biennis,221,140,0.3878116343490305,0,hc,9,100,h
Onobrychis_viciifolia,135,248,0.6475195822454308,0,hc,7,60,h
Ononis_spinosa,91,76,0.4550898203592814,0,Ch,8,70,sw
Ophrys_apifera,81,0,0,0,Gn,8,45,h
Orchis_mascula,45,0,0,0,Gn,6,40,h
Orchis_militaris,50,0,0,0,Gn,7,45,h
Origanum_vulgare,311,28,0.08259587020648967,0,Ch,6,65,h
Ornithogalum_pyrenaicum,42,42,0.5,0,Gn,5,75,h
Oxalis_acetosella,56,0,0,0,hc,4,10,h
Oxyria_digyna,128,32,0.2,0,hc,7,30,h
Papaver_rhoeas,108,16,0.12903225806451613,0,Th,7,60,h
Paris_quadrifolia,20,0,0,0,Gn,3,40,h
Persicaria_lapathifolia,205,107,0.34294871794871795,0,Th,7,100,h
Persicaria_maculosa,155,48,0.23645320197044334,0,Th,7,80,h
Persicaria_vivipara,172,33,0.16097560975609757,0,hc,8,30,h
Peucedanum_officinale,68,80,0.5405405405405406,0,hc,7,200,h
Peucedanum_palustre,75,50,0.4,0,hc,7,150,h
Phleum_arenarium,80,235,0.746031746031746,0,Th,9,17,h
Phleum_pratense,103,136,0.5690376569037657,0,hc,8,150,h
Phyteuma_spicatum,176,2,0.011235955056179775,0,hc,5,80,h
Pilosella_officinarum,148,115,0.4372623574144487,0,hc,8,12,h
Pinguicula_grandiflora,40,40,0.5,0,hc,7,8,h
Plantago_lanceolata,225,267,0.5426829268292683,0,hc,7,15,h
Plantago_major,233,184,0.4412470023980815,0,hc,7,15,h
Plantago_maritima,212,117,0.3556231003039514,0,hc,8,15,h
Plantago_media,254,184,0.4200913242009132,0,hc,8,6,h
Poa_alpina,55,82,0.5985401459854015,0,hc,7,40,h
Poa_annua,135,125,0.4807692307692308,0,Th,7,20,h
Poa_humilis,10.2,28,0.7329842931937173,0,hc,8,30,h
Poa_nemoralis,118,3.8,0.031198686371100164,0,hc,4,75,h
Polemonium_caeruleum,90,0,0,0,hc,5,90,h
Polygala_vulgaris,147,110,0.4280155642023346,0,Ch,8,25,h
Polygonatum_multiflorum,73,0,0,0,Gn,4,80,h
Polygonatum_odoratum,66,0,0,0,Gn,5,40,h
Polygonatum_verticillatum,88,0,0,0,Gn,4,80,h
Polygonum_aviculare,144,106,0.424,0,Th,7,30,h
Populus_nigra,115,20,0.14814814814814814,0,Ph,6,3000,w
Populus_tremula,330,0,0,0,Ph,6,2000,w
Potentilla_erecta,400,0,0,0,hc,7,25,h
Potentilla_rupestris,192,45,0.189873417721519,0,hc,7,60,h
Potentilla_sterilis,171,0,0,0,hc,5,15,h
Primula_vulgaris,140,0,0,0,hc,5,15,h
Prunella_vulgaris,210,42,0.16666666666666666,0,hc,7,30,h
Prunus_avium,282,0,0,0,Ph,4,2500,w
Prunus_padus,279,10,0.03460207612456748,0,Ph,5,1500,w
Prunus_spinosa,375,0,0,0,Ph,6,400,w
Pulsatilla_vulgaris,46.7,24.7,0.34593837535014,0,hc,7,30,h
Pyrola_minor,183,17,0.085,0,hc,5,7,h
Quercus_robur,450,0,0,0,Ph,7,3000,w
Ranunculus_auricomus,59,16,0.21333333333333335,0,hc,6,40,h
Ranunculus_bulbosus,151,35,0.1881720430107527,0,hc,7,40,h
Ranunculus_ficaria,75,21,0.21875,0,Gn,6,25,h
Ranunculus_flammula,98,79,0.4463276836158192,0,hc,7,50,h
Ranunculus_lingua,27,13,0.325,0,hc,7,120,h
Ranunculus_parviflorus,70,16,0.18604651162790697,0,Th,7,40,h
Ranunculus_repens,134,28,0.1728395061728395,0,hc,6,60,h
Ranunculus_sceleratus,47,31,0.3974358974358974,0,Th,8,60,h
Raphanus_raphanistrum,189,130,0.40752351097178685,0,Th,7,70,h
Reseda_luteola,180,122,0.40397350993377484,0,hc,7,150,h
Rhamnus_cathartica,167,0,0,0,Ph,7,600,w
Rhododendron_ponticum,37.5,0.6,0.015748031496062992,0,Ph,5,500,w
Ribes_nigrum,144,0,0,0,Ph,5,200,w
Rorippa_sylvestris,280,235,0.4563106796116505,0,hc,8,60,h
Rosa_canina,89,0,0,0,Ph,6,300,w
Rumex_acetosa,59,14,0.1917808219178082,0,hc,7,60,h
Rumex_acetosella,80,58,0.42028985507246375,0,hc,7,30,h
Rumex_crispus,70,34,0.3269230769230769,0,hc,8,100,h
Rumex_obtusifolius,388,88,0.18487394957983194,0,hc,7,100,h
Rumex_sanguineus,103,12,0.10434782608695652,0,hc,5,60,h
Salix_caprea,400,0,0,0,Ph,7,1000,w
Salix_herbacea,84,78,0.48148148148148145,0,Ch,8,6,w
Sanicula_europaea,143,0,0,0,hc,4,40,h
Saponaria_officinalis,103,17,0.14166666666666666,0,hc,8,90,h
Saussurea_alpina,62,9,0.1267605633802817,0,hc,8,45,h
Saxifraga_aizoides,79,65,0.4513888888888889,0,Ch,8,20,h
Saxifraga_stellaris,5,16,0.7619047619047619,0,hc,8,20,h
Scrophularia_auriculata,95,8,0.07766990291262135,0,hc,7,120,h
Scrophularia_nodosa,181,2,0.01092896174863388,0,hc,5,100,h
Senecio_cambrensis,32,11,0.2558139534883721,0,Th,8,30,h
Senecio_jacobaea,125,28,0.1830065359477124,0,hc,7,125,h
Senecio_vulgaris,123,54,0.3050847457627119,0,Th,7,37,h
Serratula_tinctoria,170,19,0.10052910052910052,0,hc,7,70,h
Sesleria_caerulea,7.5,350,0.9790209790209791,0,hc,7,45,h
Sibbaldia_procumbens,97,167,0.6325757575757576,0,hc,8,5,h
Sibthorpia_europaea,100,0,0,0,Ch,5,5,h
Silene_dioica,67,3,0.04285714285714286,0,hc,5,90,h
Silene_latifolia,49,57,0.5377358490566038,0,hc,7,100,h
Silene_uniflora,160,160,0.5,0,hc,8,28,h
Silene_vulgaris,32,32,0.5,0,hc,7,80,h
Sison_amomum,228,0,0,0,hc,7,100,h
Sisymbrium_officinale,363,279,0.43457943925233644,0,Th,7,95,h
Smyrnium_olusatrum,67,157,0.7008928571428571,0,hc,7,150,h
Solanum_dulcamara,156,0,0,0,Ph,7,225,sw
Solanum_nigrum,168.4,78.9,0.31904569348968864,0,Th,7,60,h
Solidago_virgaurea,78,80,0.5063291139240507,0,hc,5,70,h
Sonchus_arvensis,374,4,0.010582010582010581,0,hc,8,150,h
Sorbus_aria,225,0,0,0,Ph,6,1500,w
Sorbus_aucuparia,224,0,0,0,Ph,6,1500,w
Stachys_germanica,430,40,0.0851063829787234,0,hc,7,80,h
Stachys_officinalis,145,32,0.1807909604519774,0,hc,7,60,h
Stachys_sylvatica,136,0,0,0,hc,6,100,h
Stellaria_graminea,85,35,0.2916666666666667,0,hc,7,80,h
Stellaria_holostea,118,3,0.024793388429752067,0,Ch,5,60,h
